numSYN,numRST,numACK,numPSH,numURG,numFIN,numSameSrc,numSameDest,smSrcSmPort,smSrcDfPort,smSrcSYN,smSrcRST,smDestSYN,smDestSmPort,smDestDfPort,isAttack
2,83,16,5,0,5,90,83,89,5,1,82,1,0,83,TRUE
64,2,82,2,0,0,49,49,48,17,48,1,46,4,35,TRUE
100,0,48,0,0,0,47,51,46,1,47,0,51,1,51,TRUE
100,0,49,0,0,0,48,50,47,1,48,0,50,1,50,TRUE
100,0,47,0,0,0,46,52,45,1,46,0,52,1,52,TRUE
100,0,47,0,0,0,46,52,45,1,46,0,52,1,52,TRUE
15,14,80,18,0,15,69,60,68,17,9,14,7,0,60,TRUE
93,0,51,0,0,0,45,53,42,2,43,0,49,1,53,TRUE
100,0,49,0,0,0,48,50,47,1,48,0,50,0,50,TRUE
100,0,46,0,0,0,50,48,44,6,50,0,48,1,48,TRUE
0,0,100,2,0,0,33,66,32,1,0,0,0,1,66,FALSE
12,22,78,1,0,8,96,96,95,2,12,22,12,2,96,TRUE
100,0,50,0,0,0,49,49,48,1,49,0,49,1,49,TRUE
39,0,85,0,0,0,51,75,22,23,23,0,17,4,75,TRUE
0,0,100,0,0,0,43,55,42,1,0,0,0,7,55,FALSE
0,0,100,3,0,0,39,59,38,1,0,0,0,0,19,FALSE
0,0,100,5,0,0,36,62,35,1,0,0,0,1,62,FALSE
0,0,100,4,0,0,34,64,33,1,0,0,0,1,64,FALSE
5,0,95,7,0,0,54,44,53,2,5,0,0,8,44,FALSE
2,1,98,9,0,0,54,44,53,1,2,0,1,0,16,FALSE
23,5,84,20,0,20,67,64,66,19,12,5,12,2,64,TRUE
3,22,77,16,0,28,81,73,80,8,2,22,2,1,73,TRUE
12,2,96,21,0,19,59,59,58,23,10,2,10,0,59,TRUE
50,2,79,9,0,4,47,51,46,30,31,2,26,0,39,TRUE
0,0,100,4,0,0,35,63,34,1,0,0,0,1,63,FALSE
20,58,40,6,0,0,75,75,74,9,18,57,18,0,75,TRUE
0,0,100,1,0,0,68,73,67,1,0,0,0,1,73,FALSE
100,0,50,0,0,0,49,49,48,1,49,0,49,1,49,TRUE
0,0,100,11,0,1,51,47,45,3,0,0,0,7,36,FALSE
100,0,47,0,0,0,46,52,45,1,46,0,52,0,52,TRUE
100,0,53,0,0,0,52,46,51,1,52,0,46,1,46,TRUE
3,0,97,6,0,4,63,67,62,6,3,0,0,1,67,FALSE
0,0,100,9,0,1,65,34,64,2,0,0,0,7,34,FALSE
14,9,85,17,0,10,55,56,40,22,7,9,7,3,56,TRUE
100,0,50,0,0,0,49,49,48,1,49,0,49,1,49,TRUE
4,47,51,48,0,0,50,50,47,29,2,46,2,1,50,TRUE
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99,TRUE
2,0,98,14,0,0,59,39,58,1,2,0,0,15,38,FALSE
24,13,79,19,0,10,57,48,56,16,16,13,16,1,48,TRUE
0,0,100,1,0,0,36,68,35,1,0,0,0,1,68,FALSE
0,0,100,25,0,0,71,72,70,8,0,0,0,1,71,FALSE
100,0,46,0,0,0,45,53,44,1,45,0,53,1,53,TRUE
23,6,84,14,0,6,50,58,39,30,13,6,13,3,24,TRUE
20,14,82,30,0,20,64,64,63,18,15,14,15,1,64,TRUE
56,8,73,8,0,0,44,54,43,27,36,8,33,4,22,TRUE
62,1,80,2,0,0,44,54,43,21,43,0,40,3,40,TRUE
0,0,100,4,0,0,46,52,45,2,0,0,0,9,15,FALSE
4,0,98,18,0,2,59,61,58,5,2,0,2,1,61,FALSE
0,25,75,35,0,9,58,40,57,32,0,24,0,0,36,TRUE
6,33,65,15,0,6,50,48,49,14,4,33,2,1,42,TRUE
100,0,48,0,0,0,47,51,46,1,47,0,51,0,51,TRUE
100,0,59,0,0,0,58,40,57,1,58,0,40,0,40,TRUE
