srcIP,destIP,srcMAC,destMAC,srcPort,destPort
/172.16.82.223,/172.16.83.255,90:61:ae:03:35:f9,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.82.59,/255.255.255.255,b8:81:98:4f:f8:4e,ff:ff:ff:ff:ff:ff,54281 (unknown),7533 (unknown),62
/172.16.83.130,/172.16.83.255,44:03:2c:18:d4:59,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.81.143,/172.16.83.255,30:35:ad:aa:3d:84,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/192.168.69.10,/192.168.255.255,80:c1:6e:e2:45:ad,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.80.142,/224.0.0.251,bc:d1:1f:7d:ae:bb,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),89
/172.16.83.168,/255.255.255.255,bc:85:56:af:cd:d9,ff:ff:ff:ff:ff:ff,64592 (unknown),7533 (unknown),62
/172.16.81.199,/224.0.0.251,2c:33:61:24:bd:15,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),94
/172.16.83.226,/255.255.255.255,74:c6:3b:f2:eb:d9,ff:ff:ff:ff:ff:ff,61566 (unknown),7533 (unknown),62
/172.16.81.127,/239.255.255.250,0c:84:dc:27:4f:39,01:00:5e:7f:ff:fa,61001 (unknown),1900 (unknown),161
/172.16.82.223,/172.16.83.255,90:61:ae:03:35:f9,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.83.164,/239.255.255.250,f0:d7:aa:e0:89:f8,01:00:5e:7f:ff:fa,43759 (unknown),1900 (unknown),153
/192.168.69.10,/192.168.255.255,80:c1:6e:e2:45:ad,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/192.168.69.120,/192.168.255.255,74:de:2b:c5:8d:4e,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.83.84,/172.16.83.255,4c:34:88:b4:1f:d6,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/192.168.52.182,/192.168.255.255,a0:48:1c:9a:ab:b2,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.82.59,/255.255.255.255,b8:81:98:4f:f8:4e,ff:ff:ff:ff:ff:ff,54281 (unknown),7533 (unknown),62
/172.16.83.164,/239.255.255.250,f0:d7:aa:e0:89:f8,01:00:5e:7f:ff:fa,43759 (unknown),1900 (unknown),153
/172.16.81.118,/255.255.255.255,3c:a0:67:ad:85:37,ff:ff:ff:ff:ff:ff,59874 (unknown),10505 (unknown),125
/172.16.82.73,/239.255.255.250,0c:8b:fd:f3:fa:84,01:00:5e:7f:ff:fa,60526 (unknown),1900 (unknown),129
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.83.164,/239.255.255.250,f0:d7:aa:e0:89:f8,01:00:5e:7f:ff:fa,43759 (unknown),1900 (unknown),153
/172.16.80.88,/224.0.0.251,b0:e2:35:28:60:86,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/192.168.110.23,/255.255.255.255,50:65:f3:49:2b:63,ff:ff:ff:ff:ff:ff,49664 (unknown),1947 (unknown),68
/172.16.82.223,/172.16.83.255,90:61:ae:03:35:f9,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.83.168,/255.255.255.255,bc:85:56:af:cd:d9,ff:ff:ff:ff:ff:ff,64592 (unknown),7533 (unknown),62
/172.16.83.130,/172.16.83.255,44:03:2c:18:d4:59,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/192.168.52.182,/192.168.255.255,a0:48:1c:9a:ab:b2,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.82.205,/172.16.83.255,c0:25:e9:26:f2:dd,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.83.226,/255.255.255.255,74:c6:3b:f2:eb:d9,ff:ff:ff:ff:ff:ff,61566 (unknown),7533 (unknown),62
/192.168.69.10,/239.255.255.250,80:c1:6e:e2:45:ad,01:00:5e:7f:ff:fa,49210 (unknown),1900 (unknown),129
/172.16.83.84,/172.16.83.255,4c:34:88:b4:1f:d6,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.81.198,/239.255.255.250,48:d2:24:92:00:62,01:00:5e:7f:ff:fa,65054 (unknown),1900 (unknown),202
/172.16.80.119,/239.255.255.250,e4:f8:9c:6f:a2:93,01:00:5e:7f:ff:fa,63261 (unknown),1900 (unknown),304
/0.0.0.0,/255.255.255.255,e0:98:61:6f:33:7c,ff:ff:ff:ff:ff:ff,68 (Bootstrap Protocol Client),67 (Bootstrap Protocol Server),342
/0.0.0.0,/255.255.255.255,e0:98:61:6f:33:7c,ff:ff:ff:ff:ff:ff,68 (Bootstrap Protocol Client),67 (Bootstrap Protocol Server),354
/172.16.83.207,/239.255.255.250,64:27:37:e9:86:8d,01:00:5e:7f:ff:fa,61869 (unknown),1900 (unknown),161
/192.168.69.10,/239.255.255.250,80:c1:6e:e2:45:ad,01:00:5e:7f:ff:fa,49210 (unknown),1900 (unknown),161
/172.16.82.205,/172.16.83.255,c0:25:e9:26:f2:dd,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.82.90,/239.255.255.250,60:6c:66:d4:b8:59,01:00:5e:7f:ff:fa,46140 (unknown),1900 (unknown),200
/169.254.187.80,/239.255.255.250,84:ef:18:19:ba:cc,01:00:5e:7f:ff:fa,50131 (unknown),1900 (unknown),129
/172.16.82.94,/239.255.255.250,2c:6e:85:9e:bc:ea,01:00:5e:7f:ff:fa,51294 (unknown),1900 (unknown),303
/172.16.83.111,/239.255.255.250,e4:f8:9c:8d:d8:9e,01:00:5e:7f:ff:fa,50511 (unknown),1900 (unknown),304
/172.16.83.207,/172.16.83.255,64:27:37:e9:86:8d,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.83.168,/255.255.255.255,bc:85:56:af:cd:d9,ff:ff:ff:ff:ff:ff,64592 (unknown),7533 (unknown),62
/169.254.187.80,/239.255.255.250,84:ef:18:19:ba:cc,01:00:5e:7f:ff:fa,50131 (unknown),1900 (unknown),165
/172.16.83.226,/255.255.255.255,74:c6:3b:f2:eb:d9,ff:ff:ff:ff:ff:ff,61566 (unknown),7533 (unknown),62
/172.16.83.204,/224.0.0.251,70:f3:95:3a:28:13,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),88
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.81.53,/224.0.0.251,e0:98:61:6f:33:7c,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),89
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.83.84,/172.16.83.255,4c:34:88:b4:1f:d6,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.81.198,/239.255.255.250,48:d2:24:92:00:62,01:00:5e:7f:ff:fa,65054 (unknown),1900 (unknown),202
/172.16.82.216,/239.255.255.250,60:6c:66:26:bc:5e,01:00:5e:7f:ff:fa,63702 (unknown),1900 (unknown),161
/172.16.82.59,/255.255.255.255,b8:81:98:4f:f8:4e,ff:ff:ff:ff:ff:ff,54281 (unknown),7533 (unknown),62
/172.16.80.88,/224.0.0.251,b0:e2:35:28:60:86,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.83.207,/172.16.83.255,64:27:37:e9:86:8d,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/192.168.102.10,/239.255.255.250,b8:ae:ed:af:ec:ab,01:00:5e:7f:ff:fa,54019 (unknown),1900 (unknown),202
/172.16.82.119,/239.255.255.250,30:e3:7a:10:d3:1c,01:00:5e:7f:ff:fa,56683 (unknown),1900 (unknown),202
/172.16.82.121,/224.0.0.251,9c:d2:1e:2a:23:55,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),122
