srcIP,destIP,srcMAC,destMAC,srcPort,destPort,packetLen
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.82.0,/224.0.0.251,e4:02:9b:69:90:24,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),116
/172.16.80.199,/172.16.83.255,64:5a:04:68:1d:6d,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.82.190,/224.0.0.251,30:3a:64:8e:12:87,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),88
/172.16.83.40,/224.0.0.252,30:10:b3:5f:31:52,01:00:5e:00:00:fc,63596 (unknown),5355 (unknown),50
/172.16.80.27,/224.0.0.251,ac:c1:ee:3a:b5:53,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.83.133,/224.0.0.251,40:b8:9a:67:a2:69,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),68
/172.16.83.133,/224.0.0.251,40:b8:9a:67:a2:69,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),68
/172.16.83.133,/239.255.255.250,40:b8:9a:67:a2:69,01:00:5e:7f:ff:fa,42691 (unknown),1900 (unknown),199
/172.16.81.156,/224.0.0.251,00:ec:0a:90:d2:ad,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),121
/172.16.80.27,/224.0.0.251,ac:c1:ee:3a:b5:53,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.83.157,/239.255.255.250,90:00:4e:af:8a:e6,01:00:5e:7f:ff:fa,51447 (unknown),1900 (unknown),199
/172.16.82.4,/224.0.0.251,ac:2b:6e:1f:94:97,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),116
/172.16.81.38,/224.0.0.251,34:fc:ef:a0:17:8a,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),89
/172.16.80.27,/224.0.0.251,ac:c1:ee:3a:b5:53,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.83.40,/172.16.83.255,30:10:b3:5f:31:52,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.81.219,/239.255.255.250,34:e6:ad:a8:e3:a0,01:00:5e:7f:ff:fa,50074 (unknown),1900 (unknown),304
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.82.231,/172.16.83.255,c8:3a:35:c3:7b:91,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.81.213,/172.16.83.255,e4:f8:9c:79:f4:af,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),96
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.82.246,/239.255.255.250,30:3a:64:ab:8b:0f,01:00:5e:7f:ff:fa,58842 (unknown),1900 (unknown),199
/172.16.83.226,/255.255.255.255,74:c6:3b:f2:eb:d9,ff:ff:ff:ff:ff:ff,56846 (unknown),7533 (unknown),62
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.80.199,/172.16.83.255,64:5a:04:68:1d:6d,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.80.184,/224.0.0.251,74:23:44:36:de:d3,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),89
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.133,/224.0.0.251,40:b8:9a:67:a2:69,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),68
/172.16.83.133,/239.255.255.250,40:b8:9a:67:a2:69,01:00:5e:7f:ff:fa,42691 (unknown),1900 (unknown),199
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.80.121,/239.255.255.250,cc:fa:00:cc:45:d3,01:00:5e:7f:ff:fa,32783 (unknown),1900 (unknown),153
/172.16.83.40,/172.16.83.255,30:10:b3:5f:31:52,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.83.157,/239.255.255.250,90:00:4e:af:8a:e6,01:00:5e:7f:ff:fa,51447 (unknown),1900 (unknown),199
/172.16.80.109,/224.0.0.251,38:a4:ed:c4:58:a1,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),89
/172.16.80.121,/239.255.255.250,cc:fa:00:cc:45:d3,01:00:5e:7f:ff:fa,32783 (unknown),1900 (unknown),153
/172.16.82.231,/172.16.83.255,c8:3a:35:c3:7b:91,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.81.136,/172.16.83.255,ac:d1:b8:83:58:b9,ff:ff:ff:ff:ff:ff,138 (NETBIOS Datagram Service),138 (NETBIOS Datagram Service),216
/172.16.81.136,/172.16.83.255,ac:d1:b8:83:58:b9,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),96
/172.16.81.136,/172.16.83.255,ac:d1:b8:83:58:b9,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),96
/172.16.82.246,/239.255.255.250,30:3a:64:ab:8b:0f,01:00:5e:7f:ff:fa,58842 (unknown),1900 (unknown),199
/172.16.83.226,/255.255.255.255,74:c6:3b:f2:eb:d9,ff:ff:ff:ff:ff:ff,56846 (unknown),7533 (unknown),62
