srcIP,destIP,srcMAC,destMAC,srcPort,destPort,packetLen
/172.16.80.81,/239.255.255.250,74:a5:28:79:65:3b,01:00:5e:7f:ff:fa,43815 (unknown),1900 (unknown),153
/172.16.80.119,/224.0.0.251,a4:70:d6:7f:ca:a5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),89
/172.16.80.199,/172.16.83.255,64:5a:04:68:1d:6d,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.105,/239.255.255.250,10:02:b5:1d:67:a3,01:00:5e:7f:ff:fa,54025 (unknown),1900 (unknown),199
/172.16.81.204,/239.255.255.250,44:1c:a8:f9:c8:75,01:00:5e:7f:ff:fa,61800 (unknown),1900 (unknown),201
/172.16.83.122,/255.255.255.255,7c:e9:d3:30:70:5d,ff:ff:ff:ff:ff:ff,17500 (unknown),17500 (unknown),173
/172.16.83.122,/172.16.83.255,7c:e9:d3:30:70:5d,ff:ff:ff:ff:ff:ff,17500 (unknown),17500 (unknown),173
/172.16.83.237,/224.0.0.251,60:e3:27:0b:0d:21,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),68
/172.16.83.237,/224.0.0.251,60:e3:27:0b:0d:21,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),64
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.80.81,/239.255.255.250,74:a5:28:79:65:3b,01:00:5e:7f:ff:fa,43815 (unknown),1900 (unknown),153
/172.16.83.226,/255.255.255.255,74:c6:3b:f2:eb:d9,ff:ff:ff:ff:ff:ff,56846 (unknown),7533 (unknown),62
/172.16.80.81,/239.255.255.250,74:a5:28:79:65:3b,01:00:5e:7f:ff:fa,43815 (unknown),1900 (unknown),153
/172.16.82.231,/172.16.83.255,c8:3a:35:c3:7b:91,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.82.183,/239.255.255.250,fc:4d:d4:4f:cb:aa,01:00:5e:7f:ff:fa,64696 (unknown),1900 (unknown),202
/172.16.80.240,/239.255.255.250,e4:02:9b:40:4e:a8,01:00:5e:7f:ff:fa,60489 (unknown),1900 (unknown),304
/172.16.81.136,/172.16.83.255,ac:d1:b8:83:58:b9,ff:ff:ff:ff:ff:ff,138 (NETBIOS Datagram Service),138 (NETBIOS Datagram Service),216
/172.16.80.199,/172.16.83.255,64:5a:04:68:1d:6d,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.83.103,/239.255.255.250,ac:e0:10:e2:69:d2,01:00:5e:7f:ff:fa,58993 (unknown),1900 (unknown),161
/172.16.83.105,/239.255.255.250,10:02:b5:1d:67:a3,01:00:5e:7f:ff:fa,54025 (unknown),1900 (unknown),199
/172.16.83.169,/239.255.255.250,90:00:4e:d1:16:5f,01:00:5e:7f:ff:fa,59399 (unknown),1900 (unknown),202
/172.16.83.231,/224.0.0.251,98:01:a7:c2:92:49,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),85
