srcIP,destIP,srcMAC,destMAC,srcPort,destPort
/172.16.81.118,/255.255.255.255,3c:a0:67:ad:85:37,ff:ff:ff:ff:ff:ff,50081 (unknown),10505 (unknown),125
/172.16.81.105,/172.16.83.255,00:21:5c:77:42:93,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.80.199,/172.16.83.255,64:5a:04:68:1d:6d,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.80.152,/172.16.83.255,8c:85:90:4b:69:c5,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),96
/192.168.10.49,/192.168.255.255,00:50:56:83:2c:e4,ff:ff:ff:ff:ff:ff,138 (NETBIOS Datagram Service),138 (NETBIOS Datagram Service),229
/192.168.12.230,/192.168.255.255,ac:16:2d:08:ff:4b,ff:ff:ff:ff:ff:ff,138 (NETBIOS Datagram Service),138 (NETBIOS Datagram Service),244
/172.16.82.205,/172.16.83.255,c0:25:e9:26:f2:dd,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.80.152,/239.255.255.250,8c:85:90:4b:69:c5,01:00:5e:7f:ff:fa,62771 (unknown),1900 (unknown),203
/172.16.82.94,/224.0.0.252,2c:6e:85:9e:bc:ea,01:00:5e:00:00:fc,57053 (unknown),5355 (unknown),54
/172.16.82.94,/224.0.0.252,2c:6e:85:9e:bc:ea,01:00:5e:00:00:fc,56479 (unknown),5355 (unknown),54
/172.16.82.94,/224.0.0.252,2c:6e:85:9e:bc:ea,01:00:5e:00:00:fc,57903 (unknown),5355 (unknown),53
/192.168.110.23,/255.255.255.255,50:65:f3:49:2b:63,ff:ff:ff:ff:ff:ff,49664 (unknown),1947 (unknown),68
/172.16.83.154,/224.0.0.251,c4:17:fe:7c:f3:1f,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),122
/172.16.83.226,/255.255.255.255,74:c6:3b:f2:eb:d9,ff:ff:ff:ff:ff:ff,61566 (unknown),7533 (unknown),62
/172.16.82.224,/239.255.255.250,08:3e:8e:4b:63:35,01:00:5e:7f:ff:fa,53698 (unknown),1900 (unknown),161
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.81.114,/224.0.0.251,bc:d1:1f:8e:28:33,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),89
/172.16.80.88,/224.0.0.251,b0:e2:35:28:60:86,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.82.190,/239.255.255.250,b8:81:98:df:0b:ba,01:00:5e:7f:ff:fa,58281 (unknown),1900 (unknown),161
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.81.37,/224.0.0.251,88:79:7e:7d:47:07,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),89
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.82.209,/239.255.255.250,f0:03:8c:b6:ee:b5,01:00:5e:7f:ff:fa,60744 (unknown),1900 (unknown),202
/172.16.83.165,/239.255.255.250,7c:67:a2:53:7b:8b,01:00:5e:7f:ff:fa,52365 (unknown),1900 (unknown),160
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.82.59,/255.255.255.255,b8:81:98:4f:f8:4e,ff:ff:ff:ff:ff:ff,54281 (unknown),7533 (unknown),62
/172.16.82.94,/224.0.0.251,2c:6e:85:9e:bc:ea,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),68
/172.16.82.94,/224.0.0.251,2c:6e:85:9e:bc:ea,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),68
/172.16.82.216,/172.16.83.255,60:6c:66:26:bc:5e,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.82.216,/224.0.0.252,60:6c:66:26:bc:5e,01:00:5e:00:00:fc,63984 (unknown),5355 (unknown),50
/172.16.82.73,/239.255.255.250,0c:8b:fd:f3:fa:84,01:00:5e:7f:ff:fa,60526 (unknown),1900 (unknown),129
/172.16.82.57,/172.16.83.255,e4:02:9b:1a:89:61,ff:ff:ff:ff:ff:ff,138 (NETBIOS Datagram Service),138 (NETBIOS Datagram Service),228
/172.16.80.199,/172.16.83.255,64:5a:04:68:1d:6d,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.83.130,/172.16.83.255,44:03:2c:18:d4:59,ff:ff:ff:ff:ff:ff,138 (NETBIOS Datagram Service),138 (NETBIOS Datagram Service),233
/172.16.60.79,/255.255.255.255,d4:c9:ef:e3:fb:4b,ff:ff:ff:ff:ff:ff,3814 (unknown),5246 (unknown),509
/172.16.60.79,/224.0.1.140,d4:c9:ef:e3:fb:4b,01:00:5e:00:01:8c,3814 (unknown),5246 (unknown),509
/172.16.80.152,/224.0.0.251,8c:85:90:4b:69:c5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),384
/172.16.82.205,/172.16.83.255,c0:25:e9:26:f2:dd,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.82.216,/224.0.0.252,60:6c:66:26:bc:5e,01:00:5e:00:00:fc,63984 (unknown),5355 (unknown),50
/172.16.82.94,/224.0.0.252,2c:6e:85:9e:bc:ea,01:00:5e:00:00:fc,57053 (unknown),5355 (unknown),54
/172.16.82.94,/224.0.0.252,2c:6e:85:9e:bc:ea,01:00:5e:00:00:fc,56479 (unknown),5355 (unknown),54
/172.16.82.94,/224.0.0.252,2c:6e:85:9e:bc:ea,01:00:5e:00:00:fc,57903 (unknown),5355 (unknown),53
/172.16.80.112,/255.255.255.255,c0:ee:fb:e3:5a:78,ff:ff:ff:ff:ff:ff,57621 (unknown),57621 (unknown),68
/172.16.82.94,/239.255.255.250,2c:6e:85:9e:bc:ea,01:00:5e:7f:ff:fa,52837 (unknown),1900 (unknown),165
/172.16.80.152,/239.255.255.250,8c:85:90:4b:69:c5,01:00:5e:7f:ff:fa,62771 (unknown),1900 (unknown),203
/172.16.83.168,/255.255.255.255,bc:85:56:af:cd:d9,ff:ff:ff:ff:ff:ff,64592 (unknown),7533 (unknown),62
/172.16.82.216,/172.16.83.255,60:6c:66:26:bc:5e,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/192.168.11.7,/192.168.255.255,00:50:56:83:66:12,ff:ff:ff:ff:ff:ff,138 (NETBIOS Datagram Service),138 (NETBIOS Datagram Service),229
/172.16.83.226,/255.255.255.255,74:c6:3b:f2:eb:d9,ff:ff:ff:ff:ff:ff,61566 (unknown),7533 (unknown),62
/192.168.69.120,/192.168.255.255,74:de:2b:c5:8d:4e,ff:ff:ff:ff:ff:ff,138 (NETBIOS Datagram Service),138 (NETBIOS Datagram Service),229
/192.168.12.230,/192.168.255.255,ac:16:2d:08:ff:4b,ff:ff:ff:ff:ff:ff,138 (NETBIOS Datagram Service),138 (NETBIOS Datagram Service),244
/172.16.82.125,/224.0.0.251,50:b7:c3:d9:66:c9,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),130
/172.16.82.145,/224.0.0.251,9c:4e:36:4f:ef:08,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),130
/172.16.81.141,/224.0.0.251,e8:de:27:a9:55:db,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),130
/172.16.82.209,/239.255.255.250,f0:03:8c:b6:ee:b5,01:00:5e:7f:ff:fa,60744 (unknown),1900 (unknown),202
/172.16.83.154,/224.0.0.251,c4:17:fe:7c:f3:1f,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),130
/172.16.81.243,/224.0.0.251,64:5a:04:5e:1e:78,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),130
/172.16.81.57,/224.0.0.251,20:e4:16:01:23:98,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),130
