srcIP,destIP,srcMAC,destMAC,srcPort,destPort,packetLen
/172.16.80.81,/239.255.255.250,74:a5:28:79:65:3b,01:00:5e:7f:ff:fa,41630 (unknown),1900 (unknown),153
/172.16.83.70,/224.0.0.251,30:35:ad:a5:ac:10,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),112
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.80.81,/239.255.255.250,74:a5:28:79:65:3b,01:00:5e:7f:ff:fa,41630 (unknown),1900 (unknown),153
/172.16.82.231,/172.16.83.255,c8:3a:35:c3:7b:91,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.83.122,/255.255.255.255,7c:e9:d3:30:70:5d,ff:ff:ff:ff:ff:ff,17500 (unknown),17500 (unknown),173
/172.16.83.122,/172.16.83.255,7c:e9:d3:30:70:5d,ff:ff:ff:ff:ff:ff,17500 (unknown),17500 (unknown),173
/172.16.82.183,/239.255.255.250,fc:4d:d4:4f:cb:aa,01:00:5e:7f:ff:fa,61395 (unknown),1900 (unknown),202
/172.16.83.70,/224.0.0.251,30:35:ad:a5:ac:10,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),123
/172.16.82.190,/239.255.255.250,30:3a:64:8e:12:87,01:00:5e:7f:ff:fa,56419 (unknown),1900 (unknown),199
/172.16.80.199,/172.16.83.255,64:5a:04:68:1d:6d,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.82.154,/172.16.83.255,e0:06:e6:4c:f5:80,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.83.105,/239.255.255.250,10:02:b5:1d:67:a3,01:00:5e:7f:ff:fa,48335 (unknown),1900 (unknown),199
/172.16.83.130,/172.16.83.255,44:03:2c:18:d4:59,ff:ff:ff:ff:ff:ff,138 (NETBIOS Datagram Service),138 (NETBIOS Datagram Service),233
/172.16.80.81,/239.255.255.250,74:a5:28:79:65:3b,01:00:5e:7f:ff:fa,41630 (unknown),1900 (unknown),153
/172.16.81.204,/239.255.255.250,44:1c:a8:f9:c8:75,01:00:5e:7f:ff:fa,55706 (unknown),1900 (unknown),201
/0.0.0.0,/255.255.255.255,e4:46:da:09:73:27,ff:ff:ff:ff:ff:ff,68 (Bootstrap Protocol Client),67 (Bootstrap Protocol Server),334
/0.0.0.0,/255.255.255.255,e4:46:da:09:73:27,ff:ff:ff:ff:ff:ff,68 (Bootstrap Protocol Client),67 (Bootstrap Protocol Server),346
/172.16.83.70,/224.0.0.251,30:35:ad:a5:ac:10,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),147
/172.16.83.226,/255.255.255.255,74:c6:3b:f2:eb:d9,ff:ff:ff:ff:ff:ff,56846 (unknown),7533 (unknown),62
/172.16.83.70,/224.0.0.251,30:35:ad:a5:ac:10,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),584
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.81.2,/224.0.0.251,8c:85:90:23:8b:2e,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),569
/172.16.81.212,/224.0.0.251,34:02:86:be:ab:4a,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),106
/172.16.81.116,/224.0.0.251,b8:81:98:c0:00:e9,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),106
/172.16.82.130,/224.0.0.251,b8:76:3f:f5:97:91,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),289
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.115,/224.0.0.251,a0:d3:7a:7e:05:59,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),106
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.81.202,/224.0.0.251,c0:25:e9:27:31:90,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),106
/172.16.83.28,/224.0.0.251,48:e2:44:c3:f4:d9,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),228
/172.16.82.107,/224.0.0.251,ac:7b:a1:63:b3:57,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),106
/172.16.83.2,/224.0.0.251,f8:da:0c:20:b2:91,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),167
/172.16.81.250,/224.0.0.251,20:e4:16:01:23:98,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),228
/172.16.82.74,/224.0.0.251,e4:02:9b:75:96:ad,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),167
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.82.239,/224.0.0.251,84:4b:f5:99:6c:37,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),289
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.82.240,/224.0.0.251,60:6d:c7:ff:92:21,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),228
/172.16.81.71,/224.0.0.251,60:6c:66:d7:97:c2,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),289
/172.16.80.16,/224.0.0.251,00:71:cc:9c:a4:8d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),167
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.82.33,/224.0.0.251,e0:06:e6:d5:31:85,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),228
/172.16.83.53,/224.0.0.251,78:e4:00:6a:c3:50,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),228
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.23,/224.0.0.251,60:6d:c7:a3:c6:4b,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),228
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.123,/224.0.0.251,68:a3:c4:cb:1f:6c,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),228
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.134,/224.0.0.251,08:d4:0c:3a:c1:81,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),167
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.214,/224.0.0.251,88:b1:11:10:98:8e,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),106
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.176,/224.0.0.251,94:53:30:71:24:5f,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),228
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.81.116,/224.0.0.251,b8:81:98:c0:00:e9,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),228
/172.16.81.218,/224.0.0.251,34:e6:ad:17:6a:6a,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),106
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.82.144,/224.0.0.251,c4:46:19:0c:aa:21,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),289
/172.16.81.202,/224.0.0.251,c0:25:e9:27:31:90,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),167
/172.16.82.107,/224.0.0.251,ac:7b:a1:63:b3:57,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),106
/172.16.83.2,/224.0.0.251,f8:da:0c:20:b2:91,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),167
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.81.212,/224.0.0.251,34:02:86:be:ab:4a,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),167
/172.16.82.0,/224.0.0.251,e4:02:9b:69:90:24,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),106
/172.16.81.136,/172.16.83.255,ac:d1:b8:83:58:b9,ff:ff:ff:ff:ff:ff,138 (NETBIOS Datagram Service),138 (NETBIOS Datagram Service),216
/172.16.83.70,/172.16.83.255,30:35:ad:a5:ac:10,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),96
/172.16.83.70,/172.16.83.255,30:35:ad:a5:ac:10,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),96
/172.16.80.240,/239.255.255.250,e4:02:9b:40:4e:a8,01:00:5e:7f:ff:fa,60489 (unknown),1900 (unknown),304
/172.16.83.195,/224.0.0.251,28:16:ad:4c:0c:bb,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),106
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.82.190,/224.0.0.251,30:3a:64:8e:12:87,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),228
/172.16.83.123,/224.0.0.251,68:a3:c4:cb:1f:6c,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),106
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.186,/224.0.0.251,c4:8e:8f:a8:72:27,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),88
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.82.231,/172.16.83.255,c8:3a:35:c3:7b:91,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.82.183,/239.255.255.250,fc:4d:d4:4f:cb:aa,01:00:5e:7f:ff:fa,61395 (unknown),1900 (unknown),202
/172.16.83.186,/224.0.0.251,c4:8e:8f:a8:72:27,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),119
/172.16.83.97,/224.0.0.251,10:08:b1:89:59:49,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),167
/172.16.80.251,/239.255.255.250,ac:c1:ee:6b:19:df,01:00:5e:7f:ff:fa,59502 (unknown),1900 (unknown),153
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.80.199,/172.16.83.255,64:5a:04:68:1d:6d,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.83.105,/239.255.255.250,10:02:b5:1d:67:a3,01:00:5e:7f:ff:fa,48335 (unknown),1900 (unknown),199
/172.16.83.169,/239.255.255.250,90:00:4e:d1:16:5f,01:00:5e:7f:ff:fa,61553 (unknown),1900 (unknown),202
/172.16.83.70,/224.0.0.251,30:35:ad:a5:ac:10,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),324
/172.16.83.70,/224.0.0.251,30:35:ad:a5:ac:10,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),123
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.81.204,/239.255.255.250,44:1c:a8:f9:c8:75,01:00:5e:7f:ff:fa,55706 (unknown),1900 (unknown),201
/172.16.82.185,/224.0.0.251,f0:79:60:22:27:a2,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.80.27,/224.0.0.251,ac:c1:ee:3a:b5:53,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),89
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.80.251,/239.255.255.250,ac:c1:ee:6b:19:df,01:00:5e:7f:ff:fa,59502 (unknown),1900 (unknown),153
/172.16.83.70,/224.0.0.251,30:35:ad:a5:ac:10,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),324
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.226,/255.255.255.255,74:c6:3b:f2:eb:d9,ff:ff:ff:ff:ff:ff,56846 (unknown),7533 (unknown),62
/172.16.83.70,/224.0.0.251,30:35:ad:a5:ac:10,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),353
/172.16.82.107,/224.0.0.251,ac:7b:a1:63:b3:57,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),124
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.80.251,/239.255.255.250,ac:c1:ee:6b:19:df,01:00:5e:7f:ff:fa,59502 (unknown),1900 (unknown),153
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.83.70,/224.0.0.251,30:35:ad:a5:ac:10,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),573
/172.16.82.130,/172.16.83.255,b8:76:3f:f5:97:91,ff:ff:ff:ff:ff:ff,55335 (unknown),137 (NETBIOS Name Service),78
/172.16.83.70,/172.16.83.255,30:35:ad:a5:ac:10,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),96
/172.16.83.70,/172.16.83.255,30:35:ad:a5:ac:10,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),96
/172.16.82.204,/172.16.83.255,74:29:af:fb:dd:c1,ff:ff:ff:ff:ff:ff,60424 (unknown),137 (NETBIOS Name Service),78
/172.16.82.107,/172.16.83.255,ac:7b:a1:63:b3:57,ff:ff:ff:ff:ff:ff,41145 (unknown),137 (NETBIOS Name Service),78
/172.16.83.70,/239.255.255.250,30:35:ad:a5:ac:10,01:00:5e:7f:ff:fa,58052 (unknown),1900 (unknown),156
/172.16.83.70,/239.255.255.250,30:35:ad:a5:ac:10,01:00:5e:7f:ff:fa,58052 (unknown),1900 (unknown),157
/172.16.82.33,/172.16.83.255,e0:06:e6:d5:31:85,ff:ff:ff:ff:ff:ff,48837 (unknown),137 (NETBIOS Name Service),78
/172.16.83.23,/172.16.83.255,60:6d:c7:a3:c6:4b,ff:ff:ff:ff:ff:ff,57489 (unknown),137 (NETBIOS Name Service),78
/172.16.83.123,/172.16.83.255,68:a3:c4:cb:1f:6c,ff:ff:ff:ff:ff:ff,52682 (unknown),137 (NETBIOS Name Service),78
/172.16.82.246,/172.16.83.255,30:3a:64:ab:8b:0f,ff:ff:ff:ff:ff:ff,54384 (unknown),137 (NETBIOS Name Service),78
/172.16.83.134,/172.16.83.255,08:d4:0c:3a:c1:81,ff:ff:ff:ff:ff:ff,42183 (unknown),137 (NETBIOS Name Service),78
/172.16.83.130,/172.16.83.255,44:03:2c:18:d4:59,ff:ff:ff:ff:ff:ff,138 (NETBIOS Datagram Service),138 (NETBIOS Datagram Service),233
/172.16.83.120,/172.16.83.255,10:f0:05:5c:d3:84,ff:ff:ff:ff:ff:ff,33915 (unknown),137 (NETBIOS Name Service),78
/172.16.82.240,/172.16.83.255,60:6d:c7:ff:92:21,ff:ff:ff:ff:ff:ff,42439 (unknown),137 (NETBIOS Name Service),78
/172.16.80.16,/172.16.83.255,00:71:cc:9c:a4:8d,ff:ff:ff:ff:ff:ff,40876 (unknown),137 (NETBIOS Name Service),78
/172.16.82.203,/172.16.83.255,58:fb:84:cc:dc:56,ff:ff:ff:ff:ff:ff,53751 (unknown),137 (NETBIOS Name Service),78
/172.16.80.63,/172.16.83.255,ac:72:89:39:45:72,ff:ff:ff:ff:ff:ff,44067 (unknown),137 (NETBIOS Name Service),78
/172.16.82.239,/172.16.83.255,84:4b:f5:99:6c:37,ff:ff:ff:ff:ff:ff,43240 (unknown),137 (NETBIOS Name Service),78
/172.16.81.71,/172.16.83.255,60:6c:66:d7:97:c2,ff:ff:ff:ff:ff:ff,38799 (unknown),137 (NETBIOS Name Service),78
/172.16.83.28,/224.0.0.251,48:e2:44:c3:f4:d9,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),91
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.82.231,/172.16.83.255,c8:3a:35:c3:7b:91,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.82.183,/239.255.255.250,fc:4d:d4:4f:cb:aa,01:00:5e:7f:ff:fa,61395 (unknown),1900 (unknown),202
/172.16.83.70,/239.255.255.250,30:35:ad:a5:ac:10,01:00:5e:7f:ff:fa,58052 (unknown),1900 (unknown),156
/172.16.82.67,/239.255.255.250,ac:2b:6e:6a:db:87,01:00:5e:7f:ff:fa,60471 (unknown),1900 (unknown),303
/172.16.82.222,/224.0.0.251,28:56:5a:46:17:c7,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),91
/172.16.80.199,/172.16.83.255,64:5a:04:68:1d:6d,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.169,/239.255.255.250,90:00:4e:d1:16:5f,01:00:5e:7f:ff:fa,61553 (unknown),1900 (unknown),202
/172.16.82.204,/224.0.0.251,74:29:af:fb:dd:c1,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),230
/172.16.82.185,/172.16.83.255,f0:79:60:22:27:a2,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.82.185,/172.16.83.255,f0:79:60:22:27:a2,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.81.31,/239.255.255.250,18:65:90:d1:ed:95,01:00:5e:7f:ff:fa,50702 (unknown),1900 (unknown),203
/172.16.83.226,/255.255.255.255,74:c6:3b:f2:eb:d9,ff:ff:ff:ff:ff:ff,56846 (unknown),7533 (unknown),62
/172.16.83.110,/224.0.0.252,0c:8b:fd:c9:9e:9c,01:00:5e:00:00:fc,56093 (unknown),5355 (unknown),50
/172.16.81.161,/239.255.255.250,b4:6d:83:37:7b:39,01:00:5e:7f:ff:fa,58847 (unknown),1900 (unknown),201
/172.16.83.70,/224.0.0.251,30:35:ad:a5:ac:10,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),758
/172.16.81.218,/172.16.83.255,34:e6:ad:17:6a:6a,ff:ff:ff:ff:ff:ff,54085 (unknown),137 (NETBIOS Name Service),78
/172.16.83.70,/172.16.83.255,30:35:ad:a5:ac:10,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),96
