srcIP,destIP,srcMAC,destMAC,srcPort,destPort,isSYN,isRST,isACK,isFIN,isPSH,packetLen
/172.16.83.127,/216.58.197.36,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,51296 (unknown),443 (HTTPS),true,false,false,false,false,false,60
/216.58.197.36,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),51296 (unknown),true,false,true,false,false,false,52
/172.16.83.127,/216.58.197.36,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,51296 (unknown),443 (HTTPS),false,false,true,false,false,false,40
/172.16.83.127,/216.58.197.36,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,51296 (unknown),443 (HTTPS),false,false,true,false,false,true,557
/216.58.197.36,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),51296 (unknown),false,false,true,false,false,false,40
/172.16.83.127,/216.58.197.36,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,51296 (unknown),443 (HTTPS),false,false,true,true,false,false,40
/216.58.197.36,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),51296 (unknown),false,true,true,false,false,false,40
/172.16.83.127,/216.58.197.36,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,51298 (unknown),443 (HTTPS),true,false,false,false,false,false,60
/172.16.83.127,/216.58.197.36,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,51300 (unknown),443 (HTTPS),true,false,false,false,false,false,60
/216.58.197.36,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),51300 (unknown),true,false,true,false,false,false,52
/172.16.83.127,/216.58.197.36,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,51300 (unknown),443 (HTTPS),false,false,true,false,false,false,40
/172.16.83.127,/216.58.197.36,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,51300 (unknown),443 (HTTPS),false,false,true,false,false,true,557
/216.58.197.36,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),51300 (unknown),false,false,true,false,false,false,40
/172.16.83.127,/216.58.197.36,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,51300 (unknown),443 (HTTPS),false,false,true,true,false,false,40
/216.58.197.36,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),51300 (unknown),false,true,true,false,false,false,40
/172.16.83.127,/216.58.197.35,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,59862 (unknown),443 (HTTPS),true,false,false,false,false,false,60
/216.58.197.35,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),59862 (unknown),true,false,true,false,false,false,52
/172.16.83.127,/216.58.197.35,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,59862 (unknown),443 (HTTPS),false,false,true,false,false,false,40
/172.16.83.127,/216.58.197.35,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,59862 (unknown),443 (HTTPS),false,false,true,false,false,true,557
/216.58.197.35,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),59862 (unknown),false,false,true,false,false,false,40
/172.16.83.127,/216.58.197.46,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,52168 (unknown),443 (HTTPS),false,false,true,false,false,true,674
/172.16.83.127,/216.58.197.46,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,52168 (unknown),443 (HTTPS),false,false,true,false,false,true,78
/216.58.197.46,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),52168 (unknown),false,false,true,false,false,false,40
/216.58.197.46,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),52168 (unknown),false,false,true,false,false,false,40
/172.16.83.127,/216.58.197.36,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,51298 (unknown),443 (HTTPS),true,false,false,false,false,false,60
/216.58.197.46,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),52168 (unknown),false,false,true,false,false,true,179
/172.16.83.127,/216.58.197.46,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,52168 (unknown),443 (HTTPS),false,false,true,false,false,true,86
/216.58.197.36,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),51298 (unknown),true,false,true,false,false,false,52
/172.16.83.127,/216.58.197.36,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,51298 (unknown),443 (HTTPS),false,false,true,false,false,false,40
