srcIP,destIP,srcMAC,destMAC,srcPort,destPort
/192.168.52.182,/192.168.255.255,a0:48:1c:9a:ab:b2,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.83.41,/172.16.83.255,50:2b:73:dc:08:35,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.83.121,/172.16.83.255,d8:fe:e3:5c:e9:34,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.83.127,/172.16.50.10,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,13503 (unknown),53 (Domain Name Server),61
/172.16.83.127,/172.16.50.10,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,45558 (unknown),53 (Domain Name Server),61
/172.16.50.10,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,53 (Domain Name Server),13503 (unknown),111
/172.16.50.10,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,53 (Domain Name Server),45558 (unknown),123
/172.16.81.228,/172.16.83.255,70:18:8b:b4:69:ef,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),96
/172.16.81.225,/224.0.0.251,98:0c:a5:c1:85:95,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),89
/172.16.81.68,/224.0.0.251,00:ec:0a:98:f3:cd,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),138
/172.16.83.127,/172.16.50.10,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,53193 (unknown),53 (Domain Name Server),76
/172.16.83.127,/172.16.50.10,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,28258 (unknown),53 (Domain Name Server),76
/172.16.50.10,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,53 (Domain Name Server),53193 (unknown),118
/172.16.50.10,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,53 (Domain Name Server),28258 (unknown),118
/172.16.83.127,/172.16.50.10,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,58474 (unknown),53 (Domain Name Server),76
/172.16.50.10,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,53 (Domain Name Server),58474 (unknown),102
/172.16.83.127,/172.16.50.10,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,27525 (unknown),53 (Domain Name Server),64
/172.16.83.127,/172.16.50.10,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,1505 (unknown),53 (Domain Name Server),64
/172.16.83.127,/172.16.50.10,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,64947 (unknown),53 (Domain Name Server),64
/172.16.50.10,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,53 (Domain Name Server),27525 (unknown),146
/172.16.50.10,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,53 (Domain Name Server),1505 (unknown),126
/172.16.50.10,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,53 (Domain Name Server),64947 (unknown),146
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.83.41,/224.0.0.252,50:2b:73:dc:08:35,01:00:5e:00:00:fc,53777 (unknown),5355 (unknown),53
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.82.191,/172.16.83.255,c8:3a:35:c3:7b:91,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/192.168.52.182,/224.0.0.252,a0:48:1c:9a:ab:b2,01:00:5e:00:00:fc,60691 (unknown),5355 (unknown),59
/172.16.83.58,/224.0.0.251,30:10:b3:a1:e4:81,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),68
/172.16.83.58,/224.0.0.251,30:10:b3:a1:e4:81,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),68
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.83.41,/172.16.83.255,50:2b:73:dc:08:35,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.83.121,/172.16.83.255,d8:fe:e3:5c:e9:34,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.82.192,/224.0.0.251,4c:bb:58:30:a8:99,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),722
/172.16.82.228,/224.0.0.251,3c:a0:67:88:cc:f1,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),68
/192.168.52.182,/224.0.0.252,a0:48:1c:9a:ab:b2,01:00:5e:00:00:fc,60691 (unknown),5355 (unknown),59
/172.16.82.228,/224.0.0.251,3c:a0:67:88:cc:f1,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),68
/172.16.81.228,/239.255.255.250,70:18:8b:b4:69:ef,01:00:5e:7f:ff:fa,52300 (unknown),1900 (unknown),161
/172.16.82.69,/224.0.0.251,e8:4e:06:40:50:50,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),722
/172.16.82.160,/224.0.0.251,88:78:73:8f:07:87,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),722
/172.16.82.172,/224.0.0.251,bc:85:56:c7:42:69,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),722
/172.16.81.235,/224.0.0.251,18:3d:a2:fd:15:97,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),722
/172.16.81.128,/224.0.0.251,3c:95:09:56:41:f9,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),722
/172.16.82.12,/224.0.0.251,ac:72:89:39:45:72,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),722
/172.16.83.58,/239.255.255.250,30:10:b3:a1:e4:81,01:00:5e:7f:ff:fa,56605 (unknown),1900 (unknown),165
/172.16.83.58,/224.0.0.252,30:10:b3:a1:e4:81,01:00:5e:00:00:fc,54023 (unknown),5355 (unknown),59
/172.16.83.58,/224.0.0.252,30:10:b3:a1:e4:81,01:00:5e:00:00:fc,59423 (unknown),5355 (unknown),59
/172.16.83.58,/224.0.0.252,30:10:b3:a1:e4:81,01:00:5e:00:00:fc,61790 (unknown),5355 (unknown),58
/172.16.82.146,/224.0.0.251,34:f6:4b:dd:d8:bc,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),722
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.81.228,/239.255.255.250,70:18:8b:b4:69:ef,01:00:5e:7f:ff:fa,52300 (unknown),1900 (unknown),161
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.81.228,/224.0.0.252,70:18:8b:b4:69:ef,01:00:5e:00:00:fc,51239 (unknown),5355 (unknown),57
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/192.168.52.182,/192.168.255.255,a0:48:1c:9a:ab:b2,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.81.228,/172.16.83.255,70:18:8b:b4:69:ef,ff:ff:ff:ff:ff:ff,138 (NETBIOS Datagram Service),138 (NETBIOS Datagram Service),202
/172.16.81.228,/172.16.83.255,70:18:8b:b4:69:ef,ff:ff:ff:ff:ff:ff,138 (NETBIOS Datagram Service),138 (NETBIOS Datagram Service),229
/172.16.80.146,/224.0.0.251,a4:70:d6:50:14:a0,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),89
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.82.122,/172.16.83.255,ac:2b:6e:3d:b2:06,ff:ff:ff:ff:ff:ff,138 (NETBIOS Datagram Service),138 (NETBIOS Datagram Service),258
/172.16.82.122,/172.16.83.255,ac:2b:6e:3d:b2:06,ff:ff:ff:ff:ff:ff,138 (NETBIOS Datagram Service),138 (NETBIOS Datagram Service),235
/172.16.83.253,/224.0.0.251,b0:e2:35:55:29:19,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),144
/172.16.83.127,/172.16.50.10,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,9300 (unknown),53 (Domain Name Server),59
/172.16.83.127,/172.16.50.10,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,8035 (unknown),53 (Domain Name Server),59
/172.16.50.10,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,53 (Domain Name Server),9300 (unknown),120
/172.16.50.10,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,53 (Domain Name Server),8035 (unknown),132
/172.16.80.40,/224.0.0.251,94:65:2d:8b:44:e9,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),89
/172.16.83.127,/172.16.50.10,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,56450 (unknown),53 (Domain Name Server),78
/172.16.83.127,/172.16.50.10,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,28627 (unknown),53 (Domain Name Server),78
/172.16.83.127,/172.16.50.10,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,32673 (unknown),53 (Domain Name Server),78
/172.16.83.33,/224.0.0.251,d0:53:49:bd:de:6f,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),106
/172.16.50.10,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,53 (Domain Name Server),56450 (unknown),123
/172.16.50.10,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,53 (Domain Name Server),28627 (unknown),135
/172.16.50.10,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,53 (Domain Name Server),32673 (unknown),123
/172.16.83.127,/172.16.50.10,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,37953 (unknown),53 (Domain Name Server),61
/172.16.83.127,/172.16.50.10,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,2004 (unknown),53 (Domain Name Server),61
/172.16.50.10,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,53 (Domain Name Server),37953 (unknown),111
/172.16.50.10,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,53 (Domain Name Server),2004 (unknown),123
/172.16.81.228,/224.0.0.251,70:18:8b:b4:69:ef,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),294
/172.16.83.41,/224.0.0.252,50:2b:73:dc:08:35,01:00:5e:00:00:fc,58075 (unknown),5355 (unknown),61
/172.16.83.58,/172.16.83.255,30:10:b3:a1:e4:81,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.83.58,/172.16.83.255,30:10:b3:a1:e4:81,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.83.58,/172.16.83.255,30:10:b3:a1:e4:81,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.81.228,/172.16.83.255,70:18:8b:b4:69:ef,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.81.228,/172.16.83.255,70:18:8b:b4:69:ef,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.81.228,/172.16.83.255,70:18:8b:b4:69:ef,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.80.152,/172.16.83.255,8c:85:90:4b:69:c5,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.82.213,/224.0.0.251,2c:33:7a:f0:c2:4d,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),75
/172.16.83.127,/172.16.50.10,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,35256 (unknown),53 (Domain Name Server),78
/172.16.83.127,/172.16.50.10,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,2487 (unknown),53 (Domain Name Server),78
/172.16.83.127,/172.16.50.10,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,38306 (unknown),53 (Domain Name Server),78
/172.16.83.41,/172.16.83.255,50:2b:73:dc:08:35,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.50.10,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,53 (Domain Name Server),35256 (unknown),123
/172.16.50.10,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,53 (Domain Name Server),2487 (unknown),135
/172.16.50.10,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,53 (Domain Name Server),38306 (unknown),123
/172.16.83.121,/172.16.83.255,d8:fe:e3:5c:e9:34,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.81.87,/255.255.255.255,30:52:cb:74:9e:d9,ff:ff:ff:ff:ff:ff,62126 (unknown),7533 (unknown),62
/172.16.81.89,/239.255.255.250,e4:f8:9c:a2:7c:cc,01:00:5e:7f:ff:fa,58031 (unknown),1900 (unknown),303
/172.16.83.41,/172.16.83.255,50:2b:73:dc:08:35,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.81.34,/239.255.255.250,f0:d7:aa:e1:c8:e2,01:00:5e:7f:ff:fa,38179 (unknown),1900 (unknown),153
/172.16.80.199,/172.16.83.255,64:5a:04:68:1d:6d,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.81.127,/239.255.255.250,0c:84:dc:27:4f:39,01:00:5e:7f:ff:fa,61708 (unknown),1900 (unknown),161
/172.16.80.210,/224.0.0.251,a4:70:d6:88:62:21,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),105
/172.16.80.152,/172.16.83.255,8c:85:90:4b:69:c5,ff:ff:ff:ff:ff:ff,137 (NETBIOS Name Service),137 (NETBIOS Name Service),78
/172.16.82.191,/172.16.83.255,c8:3a:35:c3:7b:91,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.80.119,/239.255.255.250,e4:f8:9c:6f:a2:93,01:00:5e:7f:ff:fa,63261 (unknown),1900 (unknown),304
