srcIP,destIP,srcMAC,destMAC,srcPort,destPort,packetLen
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.81.126,/239.255.255.250,e4:f8:9c:a2:7c:cc,01:00:5e:7f:ff:fa,56075 (unknown),1900 (unknown),199
/172.16.82.165,/239.255.255.250,a0:d3:7a:2b:da:4f,01:00:5e:7f:ff:fa,42131 (unknown),1900 (unknown),199
/172.16.80.199,/239.255.255.250,64:5a:04:68:1d:6d,01:00:5e:7f:ff:fa,65437 (unknown),1900 (unknown),202
/172.16.83.137,/224.0.0.251,c4:17:fe:7c:f3:1f,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),1093
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.81.10,/239.255.255.250,38:a4:ed:c6:d0:9d,01:00:5e:7f:ff:fa,52579 (unknown),1900 (unknown),153
/172.16.80.121,/239.255.255.250,cc:fa:00:cc:45:d3,01:00:5e:7f:ff:fa,39029 (unknown),1900 (unknown),153
/172.16.81.10,/239.255.255.250,38:a4:ed:c6:d0:9d,01:00:5e:7f:ff:fa,52579 (unknown),1900 (unknown),153
/172.16.80.121,/239.255.255.250,cc:fa:00:cc:45:d3,01:00:5e:7f:ff:fa,39029 (unknown),1900 (unknown),153
/172.16.82.179,/239.255.255.250,a4:d1:8c:60:cd:3a,01:00:5e:7f:ff:fa,62318 (unknown),1900 (unknown),203
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.83.97,/255.255.255.255,10:08:b1:89:59:49,ff:ff:ff:ff:ff:ff,49216 (unknown),1124 (unknown),65
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.82.96,/239.255.255.250,18:cf:5e:ea:2d:41,01:00:5e:7f:ff:fa,60216 (unknown),1900 (unknown),202
/172.16.81.173,/224.0.0.251,c4:b3:01:41:37:f4,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),246
/172.16.81.173,/224.0.0.251,c4:b3:01:41:37:f4,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),306
/172.16.82.206,/239.255.255.250,a4:17:31:92:45:2d,01:00:5e:7f:ff:fa,51789 (unknown),1900 (unknown),202
/172.16.83.196,/224.0.0.251,98:01:a7:c6:89:db,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),129
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.81.27,/224.0.0.251,c4:42:02:67:24:21,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),89
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.80.199,/172.16.83.255,64:5a:04:68:1d:6d,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.81.173,/224.0.0.251,c4:b3:01:41:37:f4,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),141
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.82.231,/172.16.83.255,c8:3a:35:c3:7b:91,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.81.254,/172.16.83.255,7c:d1:c3:6d:08:cc,ff:ff:ff:ff:ff:ff,138 (NETBIOS Datagram Service),138 (NETBIOS Datagram Service),240
/172.16.81.173,/224.0.0.251,c4:b3:01:41:37:f4,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),273
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.81.173,/224.0.0.251,c4:b3:01:41:37:f4,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),118
/172.16.81.173,/224.0.0.251,c4:b3:01:41:37:f4,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),306
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.81.46,/224.0.0.251,f4:f5:db:bf:65:f5,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),74
/172.16.82.224,/239.255.255.250,08:3e:8e:4b:63:35,01:00:5e:7f:ff:fa,59638 (unknown),1900 (unknown),202
/172.16.82.44,/239.255.255.250,2c:6e:85:ae:a1:3c,01:00:5e:7f:ff:fa,55099 (unknown),1900 (unknown),202
/172.16.80.199,/239.255.255.250,64:5a:04:68:1d:6d,01:00:5e:7f:ff:fa,65437 (unknown),1900 (unknown),202
/172.16.80.240,/239.255.255.250,e4:02:9b:40:4e:a8,01:00:5e:7f:ff:fa,60489 (unknown),1900 (unknown),304
/172.16.80.199,/239.255.255.250,64:5a:04:68:1d:6d,01:00:5e:7f:ff:fa,65437 (unknown),1900 (unknown),202
