srcIP,destIP,srcMAC,destMAC,srcPort,destPort,packetLen
/172.16.83.226,/255.255.255.255,74:c6:3b:f2:eb:d9,ff:ff:ff:ff:ff:ff,56846 (unknown),7533 (unknown),62
/172.16.81.157,/224.0.0.251,ac:bc:32:77:70:f3,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),279
/172.16.82.231,/172.16.83.255,c8:3a:35:c3:7b:91,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.83.82,/224.0.0.252,b0:10:41:58:ac:6b,01:00:5e:00:00:fc,49364 (unknown),5355 (unknown),59
/172.16.81.85,/239.255.255.250,2c:33:7a:fe:3f:81,01:00:5e:7f:ff:fa,60843 (unknown),1900 (unknown),202
/172.16.80.199,/172.16.83.255,64:5a:04:68:1d:6d,ff:ff:ff:ff:ff:ff,54915 (unknown),54915 (unknown),291
/172.16.83.97,/224.0.0.251,10:08:b1:89:59:49,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),86
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/0.0.0.0,/255.255.255.255,ec:d0:9f:51:99:f1,ff:ff:ff:ff:ff:ff,68 (Bootstrap Protocol Client),67 (Bootstrap Protocol Server),330
/172.16.83.70,/224.0.0.251,30:35:ad:a5:ac:10,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),176
/172.16.81.213,/239.255.255.250,e4:f8:9c:79:f4:af,01:00:5e:7f:ff:fa,49865 (unknown),1900 (unknown),203
/172.16.83.87,/239.255.255.250,34:23:87:ef:41:0b,01:00:5e:7f:ff:fa,57424 (unknown),1900 (unknown),201
/172.16.83.237,/239.255.255.250,60:e3:27:0b:0d:21,01:00:5e:7f:ff:fa,55258 (unknown),1900 (unknown),199
/172.16.80.81,/239.255.255.250,74:a5:28:79:65:3b,01:00:5e:7f:ff:fa,43365 (unknown),1900 (unknown),153
/172.16.83.108,/224.0.0.251,98:de:d0:0a:c0:62,01:00:5e:00:00:fb,5353 (unknown),5353 (unknown),40
/172.16.80.240,/239.255.255.250,e4:02:9b:40:4e:a8,01:00:5e:7f:ff:fa,60489 (unknown),1900 (unknown),304
/172.16.81.254,/239.255.255.250,7c:d1:c3:6d:08:cc,01:00:5e:7f:ff:fa,49557 (unknown),1900 (unknown),203
