srcIP,destIP,srcMAC,destMAC,srcPort,destPort,isSYN,isRST,isACK,isFIN,isPSH,packetLen
/74.125.169.39,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),34678 (unknown),false,false,true,false,false,true,1285
/172.16.83.127,/74.125.169.39,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,34678 (unknown),443 (HTTPS),false,false,true,false,false,false,40
/216.58.197.46,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),51596 (unknown),false,false,true,false,false,true,1319
/216.58.197.46,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),51596 (unknown),false,false,true,false,false,false,1500
/172.16.83.127,/216.58.197.46,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,51596 (unknown),443 (HTTPS),false,false,true,false,false,false,40
/172.16.83.127,/216.58.197.34,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,39036 (unknown),443 (HTTPS),true,false,false,false,false,false,60
/216.58.197.46,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),51596 (unknown),false,false,true,false,false,false,1500
/216.58.197.46,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),51596 (unknown),false,false,true,false,false,false,1500
/172.16.83.127,/216.58.197.46,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,51596 (unknown),443 (HTTPS),false,false,true,false,false,false,40
/216.58.197.46,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),51596 (unknown),false,false,true,false,false,true,1082
/216.58.197.34,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),39036 (unknown),true,false,true,false,false,false,52
/172.16.83.127,/216.58.197.34,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,39036 (unknown),443 (HTTPS),false,false,true,false,false,false,40
/172.16.83.127,/216.58.197.34,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,39036 (unknown),443 (HTTPS),false,false,true,false,false,true,557
/216.58.197.46,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),51596 (unknown),false,false,true,false,false,false,1500
/172.16.83.127,/216.58.197.46,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,51596 (unknown),443 (HTTPS),false,false,true,false,false,false,40
/216.58.197.34,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),39036 (unknown),false,false,true,false,false,false,40
/216.58.197.46,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),51596 (unknown),false,false,true,false,false,true,1440
/216.58.197.46,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),51596 (unknown),false,false,true,false,false,false,1500
/172.16.83.127,/216.58.197.46,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,51596 (unknown),443 (HTTPS),false,false,true,false,false,false,40
/216.58.197.46,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),51596 (unknown),false,false,true,false,false,true,1440
/216.58.197.46,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),51596 (unknown),false,false,true,false,false,false,1500
/172.16.83.127,/216.58.197.46,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,51596 (unknown),443 (HTTPS),false,false,true,false,false,false,40
/216.58.197.46,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),51596 (unknown),false,false,true,false,false,true,1440
/74.125.169.39,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),34676 (unknown),false,false,true,false,false,true,1472
/172.16.83.127,/74.125.169.39,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,34676 (unknown),443 (HTTPS),false,false,true,false,false,false,40
/74.125.169.39,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),34676 (unknown),false,false,true,false,false,false,1500
/172.16.83.127,/74.125.169.39,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,34676 (unknown),443 (HTTPS),false,false,true,false,false,false,40
/74.125.169.39,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),34676 (unknown),false,false,true,false,false,false,1500
/172.16.83.127,/74.125.169.39,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,34676 (unknown),443 (HTTPS),false,false,true,false,false,false,40
/74.125.169.39,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),34676 (unknown),false,false,true,false,false,false,1500
/172.16.83.127,/74.125.169.39,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,34676 (unknown),443 (HTTPS),false,false,true,false,false,false,40
/74.125.169.39,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),34676 (unknown),false,false,true,false,false,false,1500
/172.16.83.127,/74.125.169.39,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,34676 (unknown),443 (HTTPS),false,false,true,false,false,false,40
/74.125.169.39,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),34676 (unknown),false,false,true,false,false,false,1500
/172.16.83.127,/74.125.169.39,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,34676 (unknown),443 (HTTPS),false,false,true,false,false,false,40
/74.125.169.39,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),34676 (unknown),false,false,true,false,false,false,1500
/172.16.83.127,/74.125.169.39,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,34676 (unknown),443 (HTTPS),false,false,true,false,false,false,40
/74.125.169.39,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),34676 (unknown),false,false,true,false,false,false,1500
/172.16.83.127,/74.125.169.39,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,34676 (unknown),443 (HTTPS),false,false,true,false,false,false,40
/74.125.169.39,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),34676 (unknown),false,false,true,false,false,true,1276
/172.16.83.127,/74.125.169.39,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,34676 (unknown),443 (HTTPS),false,false,true,false,false,false,40
