numSYN,numRST,numACK,numPSH,numURG,numFIN,numSameSrc,numSameDest,smSrcSmPort,smSrcDfPort,smSrcSYN,smSrcRST,smDestSYN,smDestSmPort,smDestDfPort
0,0,100,1,0,0,60,60,59,1,0,0,0,0,60
0,0,100,1,0,0,65,65,64,1,0,0,0,1,65
0,0,100,2,0,0,66,66,65,1,0,0,0,0,66
0,0,100,0,0,0,59,59,58,1,0,0,0,1,59
0,0,100,2,0,0,66,66,65,1,0,0,0,0,66
0,0,100,1,0,0,66,66,65,1,0,0,0,0,66
0,0,100,1,0,0,53,53,52,1,0,0,0,0,53
0,0,100,1,0,1,59,59,58,2,0,0,0,0,59
0,0,100,1,0,0,66,66,65,1,0,0,0,0,66
0,0,100,0,0,1,55,55,54,2,0,0,0,0,55
0,0,100,1,0,1,65,65,64,2,0,0,0,0,65
0,0,100,0,0,0,55,55,54,1,0,0,0,0,55
0,0,100,1,0,0,66,66,65,1,0,0,0,0,66
0,0,100,1,0,0,56,56,55,2,0,0,0,1,56
0,0,100,2,0,1,58,58,57,2,0,0,0,0,58
0,0,100,2,0,0,65,65,64,1,0,0,0,1,65
0,0,100,2,0,0,53,53,52,2,0,0,0,1,53
0,0,100,2,0,0,65,65,64,3,0,0,0,0,65
4,4,98,23,0,10,45,53,39,15,2,4,2,26,24
0,0,100,28,0,0,65,65,64,3,0,0,0,0,65
0,1,100,44,0,0,42,56,29,16,0,1,0,2,44
2,2,99,32,0,10,47,51,12,15,1,2,1,12,33
10,0,95,50,0,0,46,52,8,11,5,0,5,2,50
8,0,96,32,0,0,50,58,49,5,4,0,4,1,58
2,0,99,36,0,0,61,61,60,4,1,0,1,1,61
6,0,97,32,0,4,44,56,43,10,2,0,3,1,56
4,0,97,23,0,0,60,60,59,6,3,0,3,0,60
2,0,100,19,0,0,62,62,61,5,2,0,2,1,62
0,0,100,26,0,0,63,63,62,6,0,0,0,0,63
3,0,98,19,0,5,46,57,45,14,2,0,2,2,57
7,3,97,32,0,9,46,52,9,15,3,3,3,1,52
10,0,95,38,0,0,58,58,57,6,5,0,5,1,58
2,0,99,43,0,0,57,59,56,7,1,0,1,1,59
2,0,99,44,0,2,40,58,32,8,1,0,1,1,58
0,1,100,26,0,9,44,58,43,10,0,1,0,3,24
0,0,100,40,0,0,63,63,62,6,0,0,0,2,63
2,0,99,38,0,0,45,53,32,18,1,0,1,1,27
4,4,98,16,0,26,50,48,11,28,2,4,2,1,47
2,8,99,16,0,42,66,35,11,18,1,8,1,11,32
27,0,81,31,0,5,57,41,11,28,19,0,8,6,33
27,0,92,27,0,0,51,47,14,21,8,0,18,4,33
0,0,100,55,0,0,35,63,23,20,0,0,0,1,63
16,0,92,32,0,2,49,49,23,18,8,0,8,2,39
5,0,97,44,0,0,42,56,16,10,3,0,2,7,49
9,0,96,43,0,2,43,55,22,12,4,0,5,1,55
2,5,99,42,0,3,50,48,11,21,1,5,1,2,40
8,0,96,20,0,16,47,51,11,29,3,0,3,1,42
7,18,95,0,0,39,75,23,4,35,5,18,4,8,18
41,0,81,22,0,3,63,35,7,22,19,0,22,4,23
8,0,96,37,0,7,37,61,22,19,3,0,4,2,49
0,0,100,57,0,0,43,58,42,10,0,0,0,1,58
0,0,100,53,0,1,40,60,39,14,0,0,0,8,43
2,0,99,47,0,0,50,48,24,18,1,0,1,1,48
4,0,98,30,0,1,43,55,39,13,2,0,2,4,50
0,0,100,33,0,0,41,57,33,8,0,0,0,2,57
0,0,100,29,0,1,42,56,37,7,0,0,0,2,52
2,0,99,22,0,0,60,62,59,2,1,0,1,0,62
2,0,99,21,0,1,47,62,46,4,0,0,0,1,57
0,0,100,20,0,0,64,64,63,1,0,0,0,1,64
0,0,100,21,0,0,63,64,62,2,0,0,0,0,64
0,0,100,24,0,2,57,60,56,3,0,0,0,1,60
5,0,96,26,0,0,41,57,40,8,4,0,1,1,25
25,7,76,31,0,5,55,43,32,15,21,3,4,1,43
14,4,83,38,0,10,52,46,21,10,12,4,2,2,18
5,12,96,11,0,42,65,33,8,30,4,12,1,3,15
