numSYN,numRST,numACK,numPSH,numURG,numFIN,numSameSrc,numSameDest,smSrcSmPort,smSrcDfPort,smSrcSYN,smSrcRST,smDestSYN,smDestSmPort,smDestDfPort
0,0,100,37,0,2,39,59,30,10,0,0,0,5,34
1,0,99,20,0,0,49,49,44,8,1,0,0,1,49
4,0,96,45,0,3,61,37,26,32,4,0,3,5,34
0,0,100,44,0,1,57,41,18,19,0,0,0,3,14
2,0,99,37,0,1,37,61,27,7,1,0,1,1,59
0,0,100,48,0,0,42,56,31,11,0,0,0,1,49
0,0,100,42,0,0,41,57,37,11,0,0,0,3,42
4,1,98,34,0,1,53,45,14,13,2,1,2,2,33
2,0,99,31,0,0,41,57,31,9,1,0,1,1,24
3,0,98,43,0,0,51,47,17,15,2,0,1,4,15
4,0,98,29,0,0,42,56,23,12,2,0,2,4,22
0,0,100,50,0,0,39,59,15,9,0,0,0,8,47
0,0,100,54,0,0,51,47,36,14,0,0,0,14,45
4,3,98,30,0,12,55,43,16,21,2,3,2,3,20
2,0,99,28,0,12,49,49,18,17,1,0,1,2,39
8,0,96,28,0,0,44,54,43,10,4,0,4,6,46
0,0,100,36,0,0,59,61,58,7,0,0,0,2,59
0,0,100,37,0,0,60,62,59,7,0,0,0,1,62
0,0,100,23,0,0,42,56,30,12,0,0,0,3,37
4,3,98,27,0,8,51,47,12,15,2,3,2,3,27
4,10,98,19,0,25,52,46,13,17,2,10,2,5,40
10,1,95,34,0,1,46,52,16,14,5,1,5,3,38
6,3,95,36,0,10,43,55,9,15,3,2,3,1,51
1,0,99,41,0,0,49,49,29,10,1,0,0,1,27
4,0,98,33,0,4,47,51,35,8,2,0,2,1,28
6,3,97,36,0,5,46,52,43,9,3,3,3,1,31
4,0,98,31,0,0,47,59,46,6,2,0,2,0,59
3,0,98,8,0,0,62,63,61,3,2,0,1,2,32
9,0,96,30,0,1,47,51,23,11,4,0,5,1,51
0,0,100,28,0,0,38,60,36,4,0,0,0,10,38
0,0,100,21,0,0,58,62,57,3,0,0,0,0,34
0,0,100,19,0,10,54,44,33,14,0,0,0,4,43
2,0,99,33,0,6,45,57,44,9,1,0,1,1,54
0,0,100,43,0,1,44,54,21,5,0,0,0,2,19
4,2,98,33,0,8,51,47,16,14,2,2,2,1,41
0,0,100,37,0,0,41,57,21,5,0,0,0,1,32
0,5,100,11,0,8,45,56,44,10,0,5,0,3,51
0,0,100,3,0,0,64,65,63,2,0,0,0,1,65
0,0,100,20,0,0,43,55,31,8,0,0,0,0,37
2,0,99,36,0,0,42,56,31,8,1,0,1,1,56
0,0,100,28,0,0,40,58,36,4,0,0,0,1,26
4,0,98,40,0,0,48,50,26,8,2,0,2,2,41
0,1,100,39,0,2,45,53,34,7,0,1,0,2,46
0,1,100,18,0,0,54,44,21,4,0,1,0,13,21
2,2,99,36,0,3,47,51,23,7,1,2,1,3,40
0,0,100,8,0,0,62,67,61,2,0,0,0,0,67
0,0,100,3,0,0,66,66,65,1,0,0,0,0,66
0,0,100,4,0,0,64,65,63,2,0,0,0,0,65
0,0,100,20,0,0,48,60,47,5,0,0,0,1,60
4,0,98,15,0,6,47,64,46,8,2,0,2,1,64
0,0,100,13,0,0,72,75,71,4,0,0,0,2,72
0,0,100,20,0,0,54,72,53,3,0,0,0,3,55
2,0,99,33,0,1,38,60,27,5,1,0,1,1,32
0,1,100,29,0,2,44,54,17,17,0,1,0,1,54
0,0,100,49,0,0,52,46,43,3,0,0,0,2,43
0,0,100,34,0,2,46,60,45,7,0,0,0,1,60
0,0,100,11,0,0,53,63,52,3,0,0,0,1,27
2,0,99,41,0,1,52,46,21,13,1,0,1,1,28
0,0,100,52,0,1,52,46,41,6,0,0,0,1,42
0,0,100,48,0,0,49,49,40,4,0,0,0,1,49
0,0,100,30,0,0,61,61,60,1,0,0,0,1,61
0,0,100,53,0,1,49,49,36,4,0,0,0,1,43
0,0,100,48,0,0,46,52,43,4,0,0,0,1,52
0,0,100,37,0,0,42,57,41,2,0,0,0,1,57
5,0,97,19,0,8,45,53,11,23,3,0,2,1,49
4,1,98,33,0,10,42,56,36,9,2,1,2,1,51
0,0,100,32,0,4,46,59,45,8,0,0,0,1,59
2,12,99,13,0,41,68,30,5,27,1,12,1,4,28
10,12,93,15,0,20,60,38,12,31,7,12,4,15,36
12,0,93,48,0,0,64,34,28,18,7,0,4,1,30
7,4,95,30,0,14,55,43,39,22,5,4,5,2,36
3,0,100,45,0,0,55,58,54,7,2,0,2,1,58
0,0,100,45,0,2,55,58,54,5,0,0,0,1,58
0,0,100,35,0,7,47,57,46,14,0,0,0,1,31
2,0,99,8,0,35,45,53,22,22,1,0,1,0,53
0,0,100,22,0,1,61,69,60,6,0,0,0,19,44
0,0,100,12,0,1,71,73,70,4,0,0,0,0,73
0,0,100,18,0,4,59,66,58,11,0,0,0,1,65
7,7,96,22,0,16,56,42,25,17,4,7,2,1,26
44,0,78,13,0,3,54,44,18,22,22,0,22,3,34
0,0,100,43,0,0,38,61,37,6,0,0,0,2,54
4,1,98,13,0,35,56,42,11,26,2,1,2,5,31
12,0,94,35,0,0,56,57,55,9,6,0,6,1,57
12,0,94,33,0,0,61,61,60,13,6,0,6,0,61
6,0,97,31,0,0,67,67,66,9,3,0,3,0,67
0,0,100,22,0,0,72,72,71,7,0,0,0,3,69
4,0,98,45,0,0,70,70,69,7,2,0,2,0,70
10,0,95,27,0,0,62,62,61,13,5,0,5,0,62
